githubId,githubUsername,commits
681004,thomasdesr,1
681060,dfordivam,15
681716,an-empty-string,4
683828,sbarzowski,3
686076,PanAeon,3
686826,mattfield,4
687376,bbenne10,3
687995,aplavin,1
688044,sikmir,685
689294,LnL7,3
689925,sgrb,4
690428,joWeiss,1
691290,kini,27
691552,JJJollyjim,12
692274,nagy,408
692610,tokudan,6
693447,maxhille,7
694419,ilya-bobyr,9
695473,saschagrunert,88
695526,lammermann,6
697162,wedens,1
698857,shahinism,4
699961,dmytrokyrychuk,4
700468,sebras,1
701128,eikek,3
703631,beeb,14
703724,poeschel,2
704580,miangraham,13
705123,jtojnar,2660
705213,yvan-sraka,9
706183,hgmich,1
706854,AtnNn,2
707612,pmembrey,1
708570,mmlb,37
710608,x10an14,12
714585,mevatron,13
718298,cmm,28
718812,ardumont,1
719823,thoreinstein,1
720864,sbourdeauducq,1
721022,Denommus,10
721033,ajc161,1
722482,tuxinaut,10
722550,peterhoeg,302
723755,unblevable,1
724339,lsix,32
724433,Detegr,25
724661,ebardie,1
726447,franciscod,3
727571,berquist,7
728159,RohanHart,9
729697,aykevl,7
730811,WhyNotHugo,4
731978,peri4n,1
732652,aherrmann,1
734158,J-Swift,2
737477,psibi,21
737767,LeSuisse,1213
738052,brussee,2
740022,jcollie,8
743058,rbrewer123,3
747633,giang-nghg,1
748017,johnnywalker,1
749393,arathunku,9
749922,yannickulrich,2
750786,ankhers,17
750845,Lagoja,11
752293,kingarrrt,2
752510,jpotier,4
752835,berdario,1
753308,happenslol,2
753736,anilanar,2
754333,sephii,57
756348,theutz,1
757125,dzmitry-lahoda,2
757280,EggBaconAndSpam,2
757752,onny,585
758855,lrworth,6
761151,eduardosm,57
762115,meck,3
762421,kephas,2
766221,baongoc124,4
767083,dguenther,4
769237,celsomiranda,3
769606,mopleen,8
771193,urbas,11
771824,rcambrj,2
772621,Ahava,1
772914,illdefined,179
773673,osslate,5
775380,lgfa29,2
775415,efim,5
777773,kindrowboat,6
780485,mistydemeo,17
781077,FlorianFranzen,24
782180,alexvorobiev,1
782440,LunNova,73
782446,simon04,1
782643,mathewprokos,2
782760,favadi,1
785140,icyrockcom,6
787421,kquick,1
787439,koiuo,2
787843,twhitehead,2
788813,khumba,14
788953,msteen,1
789829,harryaskham,1
790607,aveltras,7
791309,1000101,30
791794,kpine,2
792171,ericr3r,2
792792,lvitaly,3
792829,hansemschnokeloch,4
795760,andrewla,3
797406,gwpantazes,1
798147,rycee,145
799311,camshaft,1
